No,Hotel,Komentar Asli,Hasil Preprocessing,Label
271,Hotel Mahkota Singkawang,ruangan makan nya ademmm,gw sukaa,ruangan makan adem suka,Positif
272,Hotel Mahkota Singkawang,th 1995 Singkawang dulu ny wilayah administratif kabupaten Sambas,singkawang wilayah kabupaten sambas,Positif
273,Hotel Mahkota Singkawang,meskipun sekali SE umur hidup ke sini Alhamdulillah ngerasain sih😂,sekali umur hidup sini alhamdulillah rasakan,Positif
274,Hotel Mahkota Singkawang,jadi ingat di tahun 2012 sering nyantai di depan hotel ada warung pak panji kalo udah malam minggu di atas jam 12 hehehe sambil santai hehehe,ingat tahun sering santai depan hotel warung pak panji malam minggu jam santai,Positif
275,Hotel Mahkota Singkawang,Aku yg pernah di perapatan aja diam diam aja😂😂😂,pernah perapatan diam,Netral
276,Hotel Mahkota Singkawang,Oh jadi itu bangunan elo dulu gua kira itu terbengkalai 😭😭😭,bangunan kira terbengkalai,Negatif
277,Hotel Mahkota Singkawang,cuman itu je ke yang paling tinggi😄,paling tinggi,Positif
278,Hotel Mahkota Singkawang,dulu bapak ku pernah lama kerja disana min😊,bapak lama kerja sana,Positif
279,Hotel Mahkota Singkawang,kerennn amaattt❤️❤️❤️🥺,keren,Positif
280,Hotel Mahkota Singkawang,kenapa handuknya tidak putih tpi warna cream tdk bersih,handuk tidak putih warna cream tidak bersih,Negatif
281,Hotel Mahkota Singkawang,dulu sering k mahkota tahun 2015an 😢,sering mahkota tahun,Positif
282,Hotel Mahkota Singkawang,baru kemarin sy nginep di hotel grand mahkota,cantik view nya,kamarny jg enak bgus🥰,baru kemarin nginep hotel grand mahkota cantik view kamar enak bagus,Positif
283,Hotel Mahkota Singkawang,Wehh ada paman ku🤗,paman,Positif
284,Hotel Mahkota Singkawang,padahal indah bangat kota Singkawang😍,indah kota singkawang,Positif
285,Hotel Mahkota Singkawang,sayang nya abang sepupu ku udah pindah di papua ngak lagi di mahkota singkawang jdi rindu berenang di mahkota,sayang abang sepupu pindah papua mahkota singkawang rindu berenang mahkota,Positif
286,Hotel Mahkota Singkawang,tahun 2008 plg skolah wktu tu SMK berenang ksana trus😂😂😂 dalam trus makan d kantinnya pesan mie goreng wkwk,tahun pulang sekolah smk berenang sana dalam makan kantin pesan mie goreng,Positif
287,Hotel Mahkota Singkawang,Mantap ini hotel. tempat honeymoon 2022😁.,mantap hotel tempat bulan madu,Positif
288,Hotel Mahkota Singkawang,mantan pegawai spbu oso jln ayani hadir😂🥰,mantan pegawai spbu oso jalan ayani hadir,Positif
289,Hotel Mahkota Singkawang,punya oso grup ya hotel ini,punya oso grup hotel,Positif
290,Hotel Mahkota Singkawang,Dulu sering berenang di kolamnya wkwkwk,sering berenang kolam,Positif
291,Hotel Mahkota Singkawang,player Singkawang pasti tau😎,player singkawang tahu,Positif
292,Hotel Mahkota Singkawang,hotell termewah sii klo lg breakfast berasa sultan bgtt😭😭,hotel mewah breakfast berasa sultan,Positif
293,Hotel Mahkota Singkawang,aku dan tim yang dulu masang semua lampu nya,tim masang lampu,Positif
294,Hotel Mahkota Singkawang,Koko ini kamar nya tipe apa,,lt berapa biar bisa request,kamar tipe lantai request,Netral
295,Hotel Mahkota Singkawang,sarapan pagi ber3 sama anak mesti bayar tambahan 🤣,sarapan pagi anak bayar tambahan,Negatif
296,Hotel Mahkota Singkawang,Tmpt favorit sama suami kalau udh ke skw,tempat favorit suami singkawang,Positif
297,Hotel Mahkota Singkawang,berapa semalam🙏,berapa semalam,Netral
298,Hotel Mahkota Singkawang,bagus,bagus,Positif
299,Hotel Mahkota Singkawang,ada parkir buat motor gak si,parkir motor,Netral
300,Hotel Mahkota Singkawang,dri viewnya emg bagus banget🥰tapi ada minesnya aku nginep kesini kmren pas boker airnya gak jalan bingung plss😭smoga kedepannya dibenarin yaa sistem instalasi airnya,view bagus minus nginep sini kemarin boker air tidak jalan bingung semoga depan dibenarin sistem instalasi air,Negatif
301,Hotel Mahkota Singkawang,oh mak ada gym,gym,Positif
302,Hotel Mahkota Singkawang,terakhir nginap di sini 2022😞,terakhir nginap sini,Positif
303,Hotel Mahkota Singkawang,Upin Ipin,upin ipin,Netral
304,Hotel Mahkota Singkawang,lawak si gym jam 7 baru buka dan kilam renang harusnya bisa lebih awal,lawak gym jam buka kolam renang awal,Negatif
305,Hotel Mahkota Singkawang,hotelnya bagus tapi kayak kurang terawat gitu sayang bgt. mei kemarin nginep sini pas sarapan lihat dinding kacanya udah butek huhu padahal bangunannya masih lumayan baru,hotel bagus kurang terawat sayang mei nginap sini sarapan lihat dinding kaca butek bangunan baru,Negatif
306,Hotel Mahkota Singkawang,boleh sm pcr gsi?? 😭,boleh pcr,Netral
307,Hotel Mahkota Singkawang,belakang itu dulu tempat gue krj😭 kangen banget sama skw,belakang tempat kerja kangen singkawang,Positif
308,Hotel Mahkota Singkawang,𝑎𝑘𝑢 𝑑𝑖 𝑏𝑢𝑔𝑒𝑛𝑣𝑖𝑙 𝑙𝑜ℎ 𝑘𝑎𝑘 𝑎𝑑𝑎 𝑑𝑖 𝑆𝑖𝑛𝑔𝑘𝑎𝑤𝑎𝑛𝑔,bugenvil singkawang,Positif
309,Hotel Mahkota Singkawang,ENAK BANGET DISINI KOLAM RENANG NYA ENAKK LUASSS,enak sini kolam renang enak luas,Positif
310,Hotel Mahkota Singkawang,Cantik banget beda jauh sama yang di mahkota kayong,cantik beda mahkota kayong,Positif
311,Hotel Mahkota Singkawang,letak strategis jd mau kemana-mana lebih mudah,letak strategis kemana mudah,Positif
312,Hotel Mahkota Singkawang,Aku nginep disana handuknya bau apek banget 😂😂,nginap handuk bau apek,Negatif
313,Hotel Mahkota Singkawang,sprei nya handuk nya bintik2 item selimut nya apek 🙏😭 teko listriknya karatan ...bawah kasur nya kotor bgt 😭😭syg bgt masuk hotel mahal tp gak di rawat,sprei handuk bintik item selimut apek teko listrik karatan bawah kasur kotor sayang masuk hotel mahal tidak rawat,Negatif
314,Hotel Mahkota Singkawang,Recooment bangettakuu kalau ke singkawang selalu ke sini soalnya lokasi nya strategis+tengah kotauntuk harga 700+ wort it gaes kalian wajib kalau ke singkawang cobain nginep di hotel inii,rekomendasi singkawang selalu sini lokasi strategis tengah kota harga wort wajib singkawang cobain nginap hotel,Positif
315,Hotel Mahkota Singkawang,aku pernh kesituu pas selesai mandi pengen mandi lagiii😭😭,pernah situ selesai mandi pengen mandi,Positif
316,Hotel Mahkota Singkawang,pernahh kesituu,kolam berenang nyaa segerr bngettt..,pernah situ kolam renang segar,Positif
317,Hotel Mahkota Singkawang,udh 2 kali nginap situ besok kesitu lagi mau liburan,dua nginap situ besok situ liburan,Positif
318,Hotel Mahkota Singkawang,Ada resto?,resto,Netral
319,Hotel Mahkota Singkawang,tak can lpa kamar berape wc e sumbat,lupa kamar berapa wc sumbat,Negatif
320,Hotel Mahkota Singkawang,pernah nginap di sini di lantai 19 donkkk kamar barsih,pemandangan cuakep,pernah nginap sini lantai kamar bersih pemandangan cuakep,Positif
321,Hotel Mahkota Singkawang,aku udh pernah kesana,pernah sana,Positif
322,Hotel Mahkota Singkawang,keren banget pemandangan di atas,keren pemandangan atas,Positif
323,Hotel Mahkota Singkawang,plus ada kolam berenang,kolam renang,Positif
324,Hotel Mahkota Singkawang,aku kemarin nginep situu😻,kemarin nginap situ,Positif
325,Hotel Mahkota Singkawang,Liburan sekeluarga ke sini boleh nih,liburan sekeluarga sini boleh,Positif
326,Hotel Mahkota Singkawang,nonton Upin Ipin,nonton upin ipin,Netral
327,Hotel Mahkota Singkawang,kmren ke mahkota yang di skd dari bed sampe kamar mandi kurang bersih dan bahkan di bed kakakku ada ee* jadi trauma ke semua mahkota karna satu manajemen😔,kemarin mahkota skd bed kamar mandi kurang bersih bed kakak trauma mahkota manajemen,Negatif
328,Hotel Mahkota Singkawang,sarapan harus makan potato wedges nya. enak!,sarapan potato wedges enak,Positif
329,Hotel Mahkota Singkawang,behhhh mantep jiwaaa tapi dulu pernah nginep di situ eh pas sampe ke hotel nya pas mau istirahat aku nya malah demam,mantep pernah nginep situ sampai hotel istirahat demam,Negatif
330,Hotel Mahkota Singkawang,btw punya Paman ku Sumpil aku GK boong🥰,punya paman sumpil tidak bohong,Positif
331,Hotel Mahkota Singkawang,gue juga suah seru sampai nginep 7😭😭,seru nginep,Positif
332,Hotel Mahkota Singkawang,sudah 10x datang kesini dari bali,sepuluh datang sini bali,Positif
333,Hotel Mahkota Singkawang,Hotel paling the best,makanannya juga enakkkk pollll😍😍😍,hotel best makanan enak,Positif
334,Hotel Mahkota Singkawang,di mulai harga berapa utk nginap di sini min?,mulai harga berapa nginap sini,Netral
335,Hotel Mahkota Singkawang,1 org berapa sih buat nginap?,satu orang berapa nginap,Netral
336,Hotel Mahkota Singkawang,pernah enak nginap disitu kamar bersih makanan enak😁,pernah enak nginap situ kamar bersih makanan enak,Positif
337,Hotel Mahkota Singkawang,pasti mehong,pasti mahal,Negatif
338,Hotel Mahkota Singkawang,pernah booking disanaa bagus tempatnya,pernah booking sana bagus tempat,Positif
339,Hotel Mahkota Singkawang,tidak ada bangku pijat nya diruang lobi,coba hotel ibis,tidak bangku pijat ruang lobi coba hotel ibis,Negatif
340,Hotel Mahkota Singkawang,sya kemaren pergi kesana seru bener,kemarin pergi sana seru,Positif
341,Hotel Mahkota Singkawang,Bagus rekomen buat nekan,bagus rekomendasi buat,Positif
342,Hotel Mahkota Singkawang,bisa bawa cewe ga bang,bisa bawa cewek,Netral
343,Hotel Mahkota Singkawang,aku pernah ke situ disana mewah banget kayak hotel mahal tapi harga nya wow murah lagi dan nyaman tempat nya apalagi kolam nya behh yang itu sih yng aku tunggu tungguin😁😁,pernah situ mewah hotel mahal harga murah nyaman tempat kolam tunggu,Positif
344,Hotel Mahkota Singkawang,no wa hotelnya bg,nomor wa hotel,Netral
345,Hotel Mahkota Singkawang,kesana seru bgt jir,sana seru,Positif
346,Hotel Mahkota Singkawang,iya cuy mantap 😂😂😂👍👍👍🙏🙏🙏,mantap,Positif
347,Hotel Mahkota Singkawang,banyak hantu,banyak hantu,Negatif
348,Hotel Mahkota Singkawang,mantep cuy haha,mantap,Positif
349,Hotel Mahkota Singkawang,bawa pacar boleh,bawa pacar boleh,Netral
