No,Hotel,Komentar Asli,Hasil Preprocessing,Label
253,Hotel Dayang Resort Singkawang,ak jg suka klok msk k sini💖,suka masuk sini,Positif
254,Hotel Dayang Resort Singkawang,penginapan spil hrga,penginapan spill harga,Netral
255,Hotel Dayang Resort Singkawang,kereeeeen,keren,Positif
256,Hotel Dayang Resort Singkawang,harga penginapan berapa?,harga penginapan berapa,Netral
257,Hotel Dayang Resort Singkawang,ndk sabar nak balik 😂,sabar balik,Positif
258,Hotel Dayang Resort Singkawang,Cuman rebahan aku udah di dayang😂 udh sering di singkawang tapi ga ada main dsitu cumn lewat doang😭,rebahan dayang sering singkawang tidak main situ lewat,Negatif
259,Hotel Dayang Resort Singkawang,hidup 25 tahun diskw gk pernah masuk ke dayang resto🗿,hidup tahun singkawang tidak masuk dayang resto,Negatif
260,Hotel Dayang Resort Singkawang,oke udh ada tepat liburan tinggal uang nya aja,oke liburan tinggal uang,Positif
261,Hotel Dayang Resort Singkawang,udah pernah masuk 2019 😁,pernah masuk,Positif
262,Hotel Dayang Resort Singkawang,Saya asal Kalbar blm pernah ke sini maklum sekarang sdh tinggal d Tangerang,asal kalbar belum sini sekarang tinggal tangerang,Negatif
263,Hotel Dayang Resort Singkawang,Udah lama gk ke Singkawang pas kecil aj waktu SD,lama singkawang kecil sd,Negatif
264,Hotel Dayang Resort Singkawang,saye udah pernah masok bg,pernah masuk,Positif
265,Hotel Dayang Resort Singkawang,bang Cakap Bahase Skw bise ke,cakap bahasa singkawang,Netral
266,Hotel Dayang Resort Singkawang,seruuu nginap di sini kemarin pas ke skw nginap sini,seru nginap sini kemarin singkawang nginap sini,Positif
267,Hotel Dayang Resort Singkawang,"Masya Allah kalbar bayak surga ""tersembunyi 💪👍",masya allah kalbar banyak surga tersembunyi,Positif
268,Hotel Dayang Resort Singkawang,banyak nyamuk katanya,banyak nyamuk,Negatif
269,Hotel Dayang Resort Singkawang,aku udah pernah kesitu seruuu banget sama satu keluarga,pernah situ seru keluarga,Positif
270,Hotel Dayang Resort Singkawang,keren banget 😍,keren,Positif
271,Hotel Dayang Resort Singkawang,yang dari Singkawang bilang hadir,singkawang hadir,Positif
272,Hotel Dayang Resort Singkawang,LET'S MOOTS!💯 AKU BACK SEMUA AFFILIATE TIKTOK! 🙋🏻‍♀️💯💯,moots back affiliate tiktok,Netral
273,Hotel Dayang Resort Singkawang,yang pernah kesini komen dong,pernah sini komen,Positif
274,Hotel Dayang Resort Singkawang,asli Cok gua pernah sini,pernah sini,Positif
275,Hotel Dayang Resort Singkawang,ok feh,ok,Netral
276,Hotel Dayang Resort Singkawang,bang di situ ada liat gelang hitam gak punya ku jatuh di situ🗿,situ lihat gelang hitam jatuh situ,Netral
277,Hotel Dayang Resort Singkawang,ada gw cok dijalan raya karna gw pulang dari pantai geratis mangkanya gw bisa tau karna abang gw liat dron nya 🗿,jalan raya pulang pantai gratis abang lihat drone,Netral
278,Hotel Dayang Resort Singkawang,ak naek perosotan di sanak yg tinggu tu tenggelam teros cok😭😭,naik perosotan sanak tinggi tenggelam,Negatif
279,Hotel Dayang Resort Singkawang,polbac ye bang,polbac,Netral
280,Hotel Dayang Resort Singkawang,di situ tempat gua hampir meninggal ☠️kebawa arus untung ada mbak mbak cina makasih mbak mbak cina yang waktu itu nyelamatin nyawa gua🙏,situ tempat hampir meninggal kebawa arus untung mbak cina terima kasih mbak cina selamatkan nyawa,Positif
281,Hotel Dayang Resort Singkawang,sebut kan kota dalam 1dtk,sebut kota,Netral
282,Hotel Dayang Resort Singkawang,brpa penginapannya 1 hari,berapa penginapan hari,Netral
283,Hotel Dayang Resort Singkawang,penjaga nya kurang sopan ini.tak bisa bawa makanan dari luar.sedang kan di dalam harga makanan 10xlipat,penjaga kurang sopan tidak bisa bawa makanan luar dalam harga makanan lipat,Negatif
284,Hotel Dayang Resort Singkawang,kota amoy,kota amoy,Positif
285,Hotel Dayang Resort Singkawang,spill harga penginapannya?,spill harga penginapan,Netral
286,Hotel Dayang Resort Singkawang,aku nginap di sini kena jait kepala ku jatuh aku di selokan kena batu saat mau naik ke atas pas selesai mandi,nginap sini kena jait kepala jatuh selokan batu naik atas selesai mandi,Negatif
287,Hotel Dayang Resort Singkawang,ada hantu gak,hantu,Negatif
288,Hotel Dayang Resort Singkawang,aku pernah ke situ,pernah situ,Positif
289,Hotel Dayang Resort Singkawang,lh saya lagi di Singkawang 😭😭,singkawang,Positif
290,Hotel Dayang Resort Singkawang,yg pernah pergi angkat tangan,pernah pergi angkat tangan,Positif
291,Hotel Dayang Resort Singkawang,baru balek dri sinik tadik 😁,baru balik sini,Positif
292,Hotel Dayang Resort Singkawang,klo dr Pontianak kesana brpa jam tak sanggup perjalan ny buat mabuk😭,pontianak sana jam tidak sanggup perjalan mabuk,Negatif
293,Hotel Dayang Resort Singkawang,aku pernh kesini pas pertama kali ke kalbar nyamannnn banget banget 🤤,pernah sini pertama kalbar nyaman,Positif
294,Hotel Dayang Resort Singkawang,aku pernah ke sini udah dua kali,pernah sini dua,Positif
295,Hotel Dayang Resort Singkawang,mahal tapi kak,mahal,Negatif
296,Hotel Dayang Resort Singkawang,kalau sewa penginapan berapa kk?,sewa penginapan berapa,Netral
297,Hotel Dayang Resort Singkawang,kalo ke kolam nye brp hrg tiket masuk nye ye,kolam berapa harga tiket masuk,Netral
298,Hotel Dayang Resort Singkawang,aku di masuk nyaa gratissss🥰,masuk gratis,Positif
299,Hotel Dayang Resort Singkawang,kok bisa nyewa speda listrik dimana ya ksih tau donk dekat mana bisa sewa pengen main juga,bisa sewa sepeda listrik mana tahu dekat sewa main,Netral
300,Hotel Dayang Resort Singkawang,bang nanti aku nak pergi ke Singkawang bulan 5 dari Pontianak ke Singkawang mau ke sana ah suruh mama🗿,nanti pergi singkawang bulan pontianak singkawang sana suruh mama,Positif
301,Hotel Dayang Resort Singkawang,aku pernah di situ kegiatan wviiii jujurr baguss benarrr,pernah situ kegiatan bagus,Positif
302,Hotel Dayang Resort Singkawang,depan nya pas liat kayak biasa kak😭,sekali masuk nya beuhh😭😭,depan lihat biasa masuk,Netral
303,Hotel Dayang Resort Singkawang,jasa drone pantai skw berape gess?,jasa drone pantai singkawang berapa,Netral
304,Hotel Dayang Resort Singkawang,aku pernah kesana 2 kali🗿,pernah sana dua,Positif
305,Hotel Dayang Resort Singkawang,gw perna main kolam nya ad permainan lo,main kolam permainan,Positif
306,Hotel Dayang Resort Singkawang,wow keren Singkawang,keren singkawang,Positif
307,Hotel Dayang Resort Singkawang,gw suka kesitu,suka situ,Positif
308,Hotel Dayang Resort Singkawang,gkk sabarr mauuu ke situu🤭😻😻,sabar mau situ,Positif
309,Hotel Dayang Resort Singkawang,eh aku kesitu udah sering soal nya ada rumah aku 🥰🥰,sering situ rumah,Positif
310,Hotel Dayang Resort Singkawang,berape tiket masok ny,berapa tiket masuk,Netral
311,Hotel Dayang Resort Singkawang,dulu sepi🗿,dulu sepi,Negatif
312,Hotel Dayang Resort Singkawang,maju lagi sikitttttt ada tmpat kerja ku🗿,maju tempat kerja,Positif
313,Hotel Dayang Resort Singkawang,sekarang Singkawang banyak yg sakit😔,sekarang singkawang banyak sakit,Negatif
314,Hotel Dayang Resort Singkawang,itu pantai datang aku udah datang 3 kali seru banget arus nya bagus dalam,pantai datang tiga seru arus bagus dalam,Positif
315,Hotel Dayang Resort Singkawang,info harga penginapan Nye bg,info harga penginapan,Netral
316,Hotel Dayang Resort Singkawang,kamek pernah kesanak pas mak kamek liboran satu kantor ke singkawang sekalian tidok sanak,pernah sanak mak liburan kantor singkawang tidur sanak,Positif
317,Hotel Dayang Resort Singkawang,keren kota singkawang,keren kota singkawang,Positif
318,Hotel Dayang Resort Singkawang,ko sepii ?,sepi,Negatif
319,Hotel Dayang Resort Singkawang,habis berpa,habis berapa,Netral
320,Hotel Dayang Resort Singkawang,dulu aku pernah ke situ tapi g tau jga sih soal nya udh lupa lupa dan jg tempat nya mirip,pernah situ tidak tahu lupa tempat mirip,Netral
321,Hotel Dayang Resort Singkawang,ni td pagi ad d sui Kapuas d belakang bank BCA mau jalan2 sama pak Kapolda dan bg Iyan y bg😂🤣😅,pagi sungai kapuas belakang bank bca jalan kapolda iyan,Netral
322,Hotel Dayang Resort Singkawang,saya mandi di kolam arus dapat uang 10000,mandi kolam arus dapat uang,Positif
323,Hotel Dayang Resort Singkawang,aku pernah nginap disitu bagus bgt woyy😫,nginap situ bagus,Positif
324,Hotel Dayang Resort Singkawang,karna gw tinggal di kalbar,tinggal kalbar,Positif
325,Hotel Dayang Resort Singkawang,dh sampai dh,sampai,Positif
326,Hotel Dayang Resort Singkawang,aku pernah ke dayang enakk behh,pernah dayang enak,Positif
327,Hotel Dayang Resort Singkawang,saya sudah pernah pergi,pernah pergi,Positif
328,Hotel Dayang Resort Singkawang,seriap ad kegiatan ortu gw selalu ke sini bejir🗿,setiap kegiatan orang tua selalu sini,Positif
329,Hotel Dayang Resort Singkawang,y sy prn nginap sn pemadangan ny cntik,pernah nginap pemandangan cantik,Positif
330,Hotel Dayang Resort Singkawang,darimane terbang dron tu jaoh benar,terbang drone jauh,Netral
331,Hotel Dayang Resort Singkawang,baru kemarin saya pergi,kemarin pergi,Positif
332,Hotel Dayang Resort Singkawang,tapi di dusun nya banyak semut merah cokkk😭😭😭,dusun banyak semut merah,Negatif
333,Hotel Dayang Resort Singkawang,udah pernah nginap di sana seruu sii luas tempat nya,nginap sana seru luas tempat,Positif
334,Hotel Dayang Resort Singkawang,penginapan bebas bawa pacar nggak?,penginapan bebas bawa pacar,Netral
335,Hotel Dayang Resort Singkawang,aku pernah ke situ sering malahan pas lagi kecil,pernah situ sering kecil,Positif
336,Hotel Dayang Resort Singkawang,masok berapa bayarnye per orang,masuk berapa bayar orang,Netral
337,Hotel Dayang Resort Singkawang,singkwang pulau wisata punya cerite🥰,singkawang pulau wisata cerita,Positif
338,Hotel Dayang Resort Singkawang,gw yg udh k sana pas study tour 😋👆🏻,sana study tour,Positif
339,Hotel Dayang Resort Singkawang,kemaren pas pelantikan adek di singkawang mampir ke dayang resot,kemarin pelantikan adek singkawang mampir dayang resort,Positif
340,Hotel Dayang Resort Singkawang,kami pernah bg saat pergi staditur dari bengkayang samapai singkawang,pernah pergi staditur bengkayang singkawang,Positif
341,Hotel Dayang Resort Singkawang,mantap ya wisata ini,mantap wisata,Positif
342,Hotel Dayang Resort Singkawang,utamakan sirkuit bang🙏,utamakan sirkuit,Positif
343,Hotel Dayang Resort Singkawang,tanggal 9 April pernah kesitu,tanggal april pernah situ,Positif
344,Hotel Dayang Resort Singkawang,spill harga penginapannya bg,spill harga penginapan,Netral
345,Hotel Dayang Resort Singkawang,masuk nya brp bg,masuk berapa,Netral
346,Hotel Dayang Resort Singkawang,keren 🙏,keren,Positif
347,Hotel Dayang Resort Singkawang,cantik,cantik,Positif
348,Hotel Dayang Resort Singkawang,sering dtg tp ngk pernah nginap🤭,sering datang tidak pernah nginap,Negatif
349,Hotel Dayang Resort Singkawang,aku pernah ke situ karena orang singkawang😁,pernah situ orang singkawang,Positif
350,Hotel Dayang Resort Singkawang,mantap TDK mahal masuknya,mantap tidak mahal masuk,Positif
351,Hotel Dayang Resort Singkawang,1 x berenang di sna,berenang sana,Positif
352,Hotel Dayang Resort Singkawang,kami ad situ bang bagus puas aku situ bang 😻,situ bagus puas,Positif
353,Hotel Dayang Resort Singkawang,bg brp masuk nya bg,berapa masuk,Netral
354,Hotel Dayang Resort Singkawang,Udahh pernahh nginepp disinii emangg baguss,pernah nginap sini bagus,Positif
355,Hotel Dayang Resort Singkawang,Hotel ya keren aku kalau liburan sama keluarga pasti stay di dyaang,hotel keren liburan keluarga stay dayang,Positif
356,Hotel Dayang Resort Singkawang,udh 2 kli k situ,dua situ,Positif
357,Hotel Dayang Resort Singkawang,seram nggak sih patung di kolam anak kalo udh malam😂😭,seram patung kolam anak malam,Negatif
358,Hotel Dayang Resort Singkawang,seru tau kalo liburan nya ke @dayangresortsingkawang puas bgtt🥰,seru liburan dayangresortsingkawang puas,Positif
359,Hotel Dayang Resort Singkawang,udah pernah tapi belum pernah main ke situ,pernah belum main situ,Positif
360,Hotel Dayang Resort Singkawang,udah berkali-kali k situ kk,berkali situ,Positif
361,Hotel Dayang Resort Singkawang,aku pernah ke sana kakak,pernah sana,Positif
362,Hotel Dayang Resort Singkawang,dah lama gak kesana,lama tidak sana,Negatif
363,Hotel Dayang Resort Singkawang,hari ini ke dayang resort sama keluarga😆😆,hari dayang resort keluarga,Positif
364,Hotel Dayang Resort Singkawang,dekatt rumah mungkin cuma 10/9 menit ke situ,dekat rumah menit situ,Positif
365,Hotel Dayang Resort Singkawang,ada hotel atau penginapan nya kak?,hotel penginapan,Netral
366,Hotel Dayang Resort Singkawang,aku pernah ke situ nanti aku mau kesitu lagi kk,pernah situ mau situ,Positif
367,Hotel Dayang Resort Singkawang,kak aku pernah pergi kesitu main air,pernah situ main air,Positif
368,Hotel Dayang Resort Singkawang,udah banyak kali aku ke situ seru banget😄,banyak situ seru,Positif
369,Hotel Dayang Resort Singkawang,dayang resort lengkap lalu coyy🗿,dayang resort lengkap,Positif
370,Hotel Dayang Resort Singkawang,baru aja kemaren pulang dari situ😄habis liburan,seru ngett,baru kemarin pulang situ liburan seru,Positif
371,Hotel Dayang Resort Singkawang,1 tiket 40 ya gaes bukan 35 😁,tiket bukan,Netral
372,Hotel Dayang Resort Singkawang,udh pernah ke sana EMG seru banget pas ke sini,pernah sana seru sini,Positif
373,Hotel Dayang Resort Singkawang,pengen pergi tempat nya deh,pengen pergi tempat,Positif
374,Hotel Dayang Resort Singkawang,Klau berenang bayr nya berapa,berenang bayar berapa,Netral
375,Hotel Dayang Resort Singkawang,Kemaren baru kesini bawa keluarga besar nginep juga d situ. Seruuuuu hihi,kemarin sini bawa keluarga besar nginap situ seru,Positif
376,Hotel Dayang Resort Singkawang,Dayan resort GK jauh dari rumah saya,dayang resort tidak jauh rumah,Positif
377,Hotel Dayang Resort Singkawang,mantap,mantap,Positif
378,Hotel Dayang Resort Singkawang,Ade pantai nye ndk disanak ?,pantai tidak sanak,Netral
379,Hotel Dayang Resort Singkawang,itu sih kolam renang kakek ku,kolam renang kakek,Positif
380,Hotel Dayang Resort Singkawang,skw ye ii kmk. pernah ke sanak😋mampir ke karimunting kak,singkawang pernah sanak mampir karimunting,Positif
381,Hotel Dayang Resort Singkawang,wao semoga bisa segera,wao semoga segera,Positif
382,Hotel Dayang Resort Singkawang,ada kolam renang baru lagi ka soalnya THN kmaren disini blm ada,kolam renang baru tahun kemarin sini belum,Positif
383,Hotel Dayang Resort Singkawang,"bakal coba nginep di sana brg kluarga rame""😍😍",coba nginap sana keluarga ramai,Positif
384,Hotel Dayang Resort Singkawang,itu di singkawang,singkawang,Positif
385,Hotel Dayang Resort Singkawang,aku waktu itu nginap 4 hari seru banget lo,nginap hari seru,Positif
386,Hotel Dayang Resort Singkawang,kak aku pernah di situ loh,pernah situ,Positif
387,Hotel Dayang Resort Singkawang,villa nya hrga brp kk,villa harga berapa,Netral
388,Hotel Dayang Resort Singkawang,saya pernah kesini Kk cantik banget tempatnya di jamin pasti seru,pernah sini cantik tempat jamin seru,Positif
389,Hotel Dayang Resort Singkawang,ak waktu itu kesana🤣sewa pelampung 🤣krna tk bsa renang. tpi seru🤭,waktu sana sewa pelampung tidak bisa renang seru,Positif
390,Hotel Dayang Resort Singkawang,kak saya udah lama kok disini 🥰 seru🥰🥰🥰,lama sini seru,Positif
391,Hotel Dayang Resort Singkawang,belum tau mio Mirza,belum tahu mio mirza,Netral
392,Hotel Dayang Resort Singkawang,udah pernah kesana bareng keluarga,pernah sana keluarga,Positif
393,Hotel Dayang Resort Singkawang,aku udh sering banget ke situ soal ya seruu 🤩🤩,sering situ seru,Positif
394,Hotel Dayang Resort Singkawang,seru banget kak🥰,seru,Positif
395,Hotel Dayang Resort Singkawang,kak itu 35k udah komplit bs main prosotan juga?,komplit main prosotan,Netral
396,Hotel Dayang Resort Singkawang,buka jam brp ini kak,buka jam berapa,Netral
397,Hotel Dayang Resort Singkawang,Bole bawak makanan gak?,boleh bawa makanan,Netral
398,Hotel Dayang Resort Singkawang,kk aku pernah pergi ke sana,pernah pergi sana,Positif
399,Hotel Dayang Resort Singkawang,pakai waktu kah kak,pakai waktu,Netral
400,Hotel Dayang Resort Singkawang,kemaren ke situu wkwk,kemarin situ,Positif
401,Hotel Dayang Resort Singkawang,makanan murah,makanan murah,Positif
402,Hotel Dayang Resort Singkawang,aku udh pernahhh ngineppp seruu bgttt,pernah nginap seru,Positif
403,Hotel Dayang Resort Singkawang,gk ad pantai nya ya?,tidak pantai,Negatif
404,Hotel Dayang Resort Singkawang,seru ye buk Kate tya,seru,Positif
405,Hotel Dayang Resort Singkawang,kak aku di peresotan merah putih aku duduk di depan,peresotan merah putih duduk depan,Positif
406,Hotel Dayang Resort Singkawang,akuu pernah di situuu seruuu bgtt kualitas baguss waktu kegiatan wvi,pernah situ seru kualitas kegiatan,Positif
407,Hotel Dayang Resort Singkawang,sudah merasakan kk,merasakan,Positif
408,Hotel Dayang Resort Singkawang,oo dkat rindam tu kh,dekat rindam,Positif
409,Hotel Dayang Resort Singkawang,ada kolam khusus org dewasa kh kk contohnya kolam yg paling dalam gituk?!!,kolam khusus dewasa kolam dalam,Netral
410,Hotel Dayang Resort Singkawang,aku nanti jalan jalan sekelas ke dayang resort 🤭🤭🤭,nanti jalan sekelas dayang resort,Positif
411,Hotel Dayang Resort Singkawang,Seru banget kak😍,seru,Positif
412,Hotel Dayang Resort Singkawang,tiket masuk brp kak,tiket masuk berapa,Netral
413,Hotel Dayang Resort Singkawang,anak & dewasa sma ka tiket masuk nya,anak dewasa tiket masuk,Netral
414,Hotel Dayang Resort Singkawang,pernah nginap disini emang sebagus itulohh😭✨,nginap sini bagus,Positif
415,Hotel Dayang Resort Singkawang,Otw besok 💨 dayang resort singkawang,otw besok dayang resort singkawang,Positif
416,Hotel Dayang Resort Singkawang,emg seseru itu dulu sempet nginap dn bagus bngt fasilitas nya,seru nginap bagus fasilitas,Positif
417,Hotel Dayang Resort Singkawang,berapa tiket nya ya?,berapa tiket,Netral
418,Hotel Dayang Resort Singkawang,nginap nya berapaaa,nginap berapa,Netral
419,Hotel Dayang Resort Singkawang,terimakasih kak udah pidiokan kamek,terima kasih video,Positif
420,Hotel Dayang Resort Singkawang,aku udah pernah 🙌🏻🙌🏻,pernah,Positif
421,Hotel Dayang Resort Singkawang,jujur li seru banget,seru,Positif
422,Hotel Dayang Resort Singkawang,mines ya cuma gak boleh bawa makanan kalo boleh bawa makanan pasti lebih banyak pengunjung🙏,minus tidak boleh bawa makanan boleh bawa makanan banyak pengunjung,Negatif
423,Hotel Dayang Resort Singkawang,sabtu sya nginap sini sekalian libjran sma anak'x nginap di rusun pas mlam mingguan 🥰,sabtu nginap sini liburan anak nginap rusun malam minggu,Positif
424,Hotel Dayang Resort Singkawang,aku kelelep di kolam arus 😭,kelelep kolam arus,Negatif
425,Hotel Dayang Resort Singkawang,aku pernah ke situ mungkin dari ponti ke sana jauh tapi gpp tempatnya bagus poll pengen ke situ lagii,pernah situ pontianak sana jauh tempat bagus pengen situ,Positif
426,Hotel Dayang Resort Singkawang,berapa harga tiket masuknya pas weekend ni mbak?,harga tiket masuk weekend,Netral
427,Hotel Dayang Resort Singkawang,tiket utk anak usia 7th ama 3th berapa?,tiket anak tahun berapa,Netral
428,Hotel Dayang Resort Singkawang,aku pernah ke situ,pernah situ,Positif
429,Hotel Dayang Resort Singkawang,"waktu itu aku ke dayang merasa premium gara"" sepi",waktu dayang premium sepi,Positif
430,Hotel Dayang Resort Singkawang,Aa tadi ke sini cuman nda ke rekam😭😭,tadi sini tidak rekam,Negatif
431,Hotel Dayang Resort Singkawang,kalau dak berenanh bayar juga k min,tidak berenang bayar,Netral
432,Hotel Dayang Resort Singkawang,siapa yang udah pernah ke pantai resort,pernah pantai resort,Positif
433,Hotel Dayang Resort Singkawang,seru bgt aku udah pernah pergi!,seru pernah pergi,Positif
434,Hotel Dayang Resort Singkawang,besok msi ke min hrge nye sgtu?,besok harga,Netral
435,Hotel Dayang Resort Singkawang,harga tiketnya sangat worth-it guyss jangan lupa mampir ke dayang resort ya guyss views nya bagus bangett🤗,harga tiket worth mampir dayang resort view bagus,Positif
436,Hotel Dayang Resort Singkawang,dah sering min waktu tu saye pegi pagi pagi sepi nak mampus cuman Ade bule yak mungkin die nginap di resort nye,sering pergi pagi sepi bule nginap resort,Positif
437,Hotel Dayang Resort Singkawang,bise bawa makanan ke,bisa bawa makanan,Netral
438,Hotel Dayang Resort Singkawang,35 k tu utk brp lama min?,ribu berapa lama,Netral
439,Hotel Dayang Resort Singkawang,sudah termasuk permainan ka,termasuk permainan,Netral
440,Hotel Dayang Resort Singkawang,gara gara nginep di sayang reset 😭 dpt nomor cece cece Singkawang 😭😂,nginap sayang reset dapat nomor cece singkawang,Positif
441,Hotel Dayang Resort Singkawang,pas itu kami pergi serasa sewa sepi pengunjung gara gara hujan 😭😭🙏 bukan bilang sepi ya 😭🙏,pergi sewa sepi pengunjung hujan,Negatif
442,Hotel Dayang Resort Singkawang,Gw baru saja pulang dari sana bersama keluarga besar ada 42 org. Bahkan gw yg bayarin semuanya 😎,pulang sana keluarga besar orang bayar,Positif
443,Hotel Dayang Resort Singkawang,kangen maain prosotan 😔🙇,kangen main prosotan,Positif
444,Hotel Dayang Resort Singkawang,ini di mana ka?,mana,Netral
445,Hotel Dayang Resort Singkawang,GUYSS KALIAN HARUS KESITUU BENER BENER SERU BGTT😭 APA LAGI YG KOLAM ARUS GILAAAAAAA MURAH LAGI😭🙏,harus situ seru kolam arus murah,Positif
446,Hotel Dayang Resort Singkawang,iii kangen banget nginap disanaa main disana,kangen nginap sana main sana,Positif
447,Hotel Dayang Resort Singkawang,masuknya 35k sama mau mndi byr lagi ga kak?,masuk ribu mandi bayar lagi,Netral
448,Hotel Dayang Resort Singkawang,kalau blh tau msuk nya berapa ya kk,masuk berapa,Netral
449,Hotel Dayang Resort Singkawang,min,berarti mandi di kolam nya gk bayar ya?,mandi kolam tidak bayar,Netral
450,Hotel Dayang Resort Singkawang,harga kamar dsna berapa ya min,harga kamar berapa,Netral
451,Hotel Dayang Resort Singkawang,ak mah setiap kali k sini selalu gratis,sini gratis,Positif
452,Hotel Dayang Resort Singkawang,min kalau bawa bekal dari rumah boleh kah,bawa bekal rumah boleh,Netral
453,Hotel Dayang Resort Singkawang,kemarin dateng ke sini nginep 1 hari seru bgt pls😭,kemarin datang sini nginap hari seru,Positif
454,Hotel Dayang Resort Singkawang,kalo hanya pergi berenang berapa kk,berenang berapa,Netral
455,Hotel Dayang Resort Singkawang,kalau nginap berapa,nginap berapa,Netral
456,Hotel Dayang Resort Singkawang,saran tambahin lagi wahana nya bosan itu itu aja @dayangresortsingkawang,saran tambah wahana bosan,Negatif
457,Hotel Dayang Resort Singkawang,Murah banget dengan seindah ini,murah indah,Positif
458,Hotel Dayang Resort Singkawang,sampai tanggal brp minn😋,sampai tanggal,Netral
459,Hotel Dayang Resort Singkawang,min tiket 35.000 itu termasuk tiket masuk atau tiket berenang mini,tiket ribu termasuk tiket masuk berenang mini,Netral
460,Hotel Dayang Resort Singkawang,Ade ape ajak kak di dayang resort,dayang resort,Positif
461,Hotel Dayang Resort Singkawang,udah pernah kesini pliss seru banget rasanya gamau pulang🥰 hanya saja gaboleh bawa makanan berat tapi kalo cemilan atau makanan ringan lainnya masih boleh kok asal ga buang sampah sembarangan aja itu dilakukan untuk menjaga kenyamanan dan kebersihan pengunjung juga jadi bukan minus ya,pernah sini seru tidak mau pulang tidak boleh bawa makanan berat cemilan makanan ringan boleh buang sampah menjaga kenyamanan kebersihan pengunjung bukan minus,Positif
462,Hotel Dayang Resort Singkawang,gw kemren baru ke situ😭,kemarin situ,Positif
463,Hotel Dayang Resort Singkawang,🗿gw pernah kesitu tapi itu dulu,pernah situ dulu,Positif
464,Hotel Dayang Resort Singkawang,ini mau kesane sekarang agk dijalan 😭,mau sana jalan,Positif
465,Hotel Dayang Resort Singkawang,kufikir masi kek dulu yg harus sewa kamar dulu baru bisa main 😭,pikir dulu sewa kamar baru main,Positif
466,Hotel Dayang Resort Singkawang,aku dah masuk kesitu seru banget,masuk situ seru,Positif
467,Hotel Dayang Resort Singkawang,ak pernah kesana kolam arus nya seru banget wort it bgt 🥰🥰,pernah sana kolam arus seru worth,Positif
468,Hotel Dayang Resort Singkawang,serius 35k,serius ribu,Netral
469,Hotel Dayang Resort Singkawang,Baru balik dari situ tadi sore.. seruu poll deh,baru balik situ sore seru,Positif
470,Hotel Dayang Resort Singkawang,mines nya jauh 😭😭,minus jauh,Negatif
471,Hotel Dayang Resort Singkawang,Seru banget pokoknya 🔥,seru,Positif
472,Hotel Dayang Resort Singkawang,aku udah semalam,semalam,Positif
473,Hotel Dayang Resort Singkawang,hotel satu kama satu juta lebih kak,hotel satu kamar juta lebih,Netral
474,Hotel Dayang Resort Singkawang,iii jdi pgn kesnak agik laa kmek pegi pas tour yak tu🗿,pengen sanak lagi pergi tour,Positif
475,Hotel Dayang Resort Singkawang,ak udah pernah ke sana sama temn ku sumpah seru bangettt,pernah sana teman seru,Positif
476,Hotel Dayang Resort Singkawang,seru jujur disana,seru sana,Positif
477,Hotel Dayang Resort Singkawang,jd pngn sni agik,pengen sini,Positif
478,Hotel Dayang Resort Singkawang,seru banget min,aku udh ke situ 7×,dan pastinya SERUUUUUUUUUUUUUUUUUUUUUUU BANGET,pokonya mantep deh aku nilai untuk dayang resort ini 1000/10🔥,seru situ tujuh mantep nilai dayang resort,Positif
479,Hotel Dayang Resort Singkawang,aku udh pernah pergi sana,pernah pergi sana,Positif
480,Hotel Dayang Resort Singkawang,udahh pernah kesitu,pernah situ,Positif
481,Hotel Dayang Resort Singkawang,udh pernah ke situ min dn sepat jatoh juga🤣😁,pernah situ sepatu jatuh,Positif
482,Hotel Dayang Resort Singkawang,udh pernah seru banget apa lagi main sama temen yg belum dateng wajib dateng sh seru bett,pernah seru main teman belum datang wajib datang seru,Positif
483,Hotel Dayang Resort Singkawang,bang aku udh perna ke dayang resot seru baget sumpah seseru itu main nya gak mau berenti,pernah dayang resort seru main tidak mau berhenti,Positif
484,Hotel Dayang Resort Singkawang,udah pernah kesini,pernah sini,Positif
485,Hotel Dayang Resort Singkawang,say pernah kesitu seru banget tapi pas mau kesana lagi malah macet jadi nya ga jadi😌,pernah situ seru mau sana macet tidak jadi,Positif
486,Hotel Dayang Resort Singkawang,saya naik di perusotan kuning dan biru seru banget,naik perosotan kuning biru seru,Positif
487,Hotel Dayang Resort Singkawang,aku udah ke sana 3/4 kali,tiga empat kali,Positif
488,Hotel Dayang Resort Singkawang,biasa nya kalo ada acara RSUD pmk saya nginap disini,biasa acara rsud pmk nginap sini,Positif
489,Hotel Dayang Resort Singkawang,udah beberapa kali masuk ke pantai dayang dan ga pernah bosennn,beberapa masuk pantai dayang tidak bosan,Positif
490,Hotel Dayang Resort Singkawang,kalau nginap byar lagi gk?,nginap bayar,Netral
491,Hotel Dayang Resort Singkawang,ak tdi sore disini plisss disni seru bgtt kolam nya ada yang dalem ada yang dangkal jugabisa sewa sepeda listrik pelampung jugaatempat santainya itu lohh yang seruuudisini kita bisa jalan jalan jg,sore sini seru kolam dalam dangkal sewa sepeda listrik pelampung tempat santai jalan,Positif
492,Hotel Dayang Resort Singkawang,ak waktu itu nginap di situ seru nagut plsssssss ada dinner nye pulaa pas ad undangan dr dinas2 tuuu,nginap situ seru dinner undangan dinas,Positif
493,Hotel Dayang Resort Singkawang,pernah sekali,pernah,Positif
