No,Hotel,No_Original,Sumber_File,Komentar_Asli,Hasil_Preprocessing,Label
210,Hotel Swiss-Belhotel Singkawang,64,2f.csv,pengen k mall mulu 🤣😭,pengen mall,Positif
211,Hotel Swiss-Belhotel Singkawang,65,2f.csv,woy itu mall gw😭🙏,mall aku,Positif
212,Hotel Swiss-Belhotel Singkawang,66,2f.csv,jadi pengen ke moll,jadi pengen mall,Positif
213,Hotel Swiss-Belhotel Singkawang,67,2f.csv,bangga bgt sama kota Singkawang plcc.,bangga sekali kota singkawang,Positif
214,Hotel Swiss-Belhotel Singkawang,68,2f.csv,saya udah 5 atau6 kali 🔥,saya sudah 5 6 kali,Positif
215,Hotel Swiss-Belhotel Singkawang,69,2f.csv,udah lama nga ke mall singkawang😭,sudah lama tidak mall singkawang,Negatif
216,Hotel Swiss-Belhotel Singkawang,70,2f.csv,gramedia Uda ada blm ko d SGM?,gramedia sudah ada belum,Netral
217,Hotel Swiss-Belhotel Singkawang,71,2f.csv,kebanggaan warga sinhkawang👌👌🔥🔥,kebanggaan warga singkawang,Positif
218,Hotel Swiss-Belhotel Singkawang,72,2f.csv,aku udah pergi,aku sudah pergi,Positif
219,Hotel Swiss-Belhotel Singkawang,73,2f.csv,@日本サンナ🇯🇵🌸 @oktaa caesarr @teru gf🍉❐ツ @ꜱ ꜱ ꜱ' ᗢ Оαꜱ'? kangen pas tour ga sihh,kangen tour,Netral
220,Hotel Swiss-Belhotel Singkawang,74,2f.csv,"kebanyakan teenant nya kuliner semua..but overall, mall nya cukup OK...terakhir visit kota ini Mei kemarin...heeehee",kebanyakan tenant kuliner overall mall cukup ok terakhir visit kota mei,Positif
221,Hotel Swiss-Belhotel Singkawang,75,2f.csv,depan mol ada gang,depan mall gang,Netral
222,Hotel Swiss-Belhotel Singkawang,76,2f.csv,aku hoby jalan jugaa,aku hobi jalan,Netral
223,Hotel Swiss-Belhotel Singkawang,77,2f.csv,"Agoda nya untuk menghalang hantu gentangan di sana kah , saya pernh nginap di hotel Swiss - bell , hunted lho",agoda menghalang hantu gentangan saya pernah nginap hotel swiss belhotel hunted,Negatif
224,Hotel Swiss-Belhotel Singkawang,78,2f.csv,aku pernah pergi ke situ,aku pernah pergi situ,Positif
225,Hotel Swiss-Belhotel Singkawang,79,2f.csv,saya udah pernah tapi saya dari Pontianak,saya sudah pernah saya pontianak,Positif
226,Hotel Swiss-Belhotel Singkawang,80,2f.csv,akuhhhh,aku,Netral
227,Hotel Swiss-Belhotel Singkawang,81,2f.csv,🤭🤭🤭,,Netral
228,Hotel Swiss-Belhotel Singkawang,82,2f.csv,saya asli Kaltim TPI udah 2 kali ke mall,saya asli kaltim sudah 2 kali mall,Positif
229,Hotel Swiss-Belhotel Singkawang,83,2f.csv,🔥🔥🔥,,Netral
230,Hotel Swiss-Belhotel Singkawang,84,2f.csv,bang ke Richeese factory 😅😅😅😅,bang richeese factory,Netral
231,Hotel Swiss-Belhotel Singkawang,85,2f.csv,hadir,hadir,Positif
232,Hotel Swiss-Belhotel Singkawang,86,2f.csv,adaaa tamee zone bangg??,ada tamee zone bang,Netral
233,Hotel Swiss-Belhotel Singkawang,87,2f.csv,ka di situ ada tokoh colorbox ga,kakak situ ada tokoh colorbox,Netral
234,Hotel Swiss-Belhotel Singkawang,88,2f.csv,😁,,Netral
235,Hotel Swiss-Belhotel Singkawang,89,2f.csv,bang nak nanya kalau nonton film sampai titik terakhir mu ye dari jam BRP sampai jam BRP selesai nye,bang tanya nonton film titik terakhir jam berapa sampai jam berapa selesai,Netral
236,Hotel Swiss-Belhotel Singkawang,90,2f.csv,😁,,Netral
237,Hotel Swiss-Belhotel Singkawang,91,2f.csv,🔥,,Netral
238,Hotel Swiss-Belhotel Singkawang,92,2f.csv,aku pernah sama keluraga,aku pernah sama keluarga,Positif
239,Hotel Swiss-Belhotel Singkawang,93,2f.csv,😂,,Netral
240,Hotel Swiss-Belhotel Singkawang,94,2f.csv,❤,,Netral
241,Hotel Swiss-Belhotel Singkawang,95,2f.csv,absen aku udah plus pantai pak lotai dan CV arli,absen aku sudah pantai pak lotai cv arli,Positif
242,Hotel Swiss-Belhotel Singkawang,96,2f.csv,ga percaya nih Poto aku,tidak percaya foto,Netral
243,Hotel Swiss-Belhotel Singkawang,97,2f.csv,☺☺☺,,Netral
244,Hotel Swiss-Belhotel Singkawang,98,2f.csv,🔥,,Netral
245,Hotel Swiss-Belhotel Singkawang,99,2f.csv,@🕷🕸 ini mall di tempat mu kahh?,mall tempat,Netral
246,Hotel Swiss-Belhotel Singkawang,100,2f.csv,🔥🔥🔥,,Netral
247,Hotel Swiss-Belhotel Singkawang,101,2f.csv,indah banget cuuk❤❤👌👌👌,indah sekali,Positif
248,Hotel Swiss-Belhotel Singkawang,102,2f.csv,😁,,Netral
249,Hotel Swiss-Belhotel Singkawang,103,2f.csv,miniso lantai 1 kah,miniso lantai 1,Netral
250,Hotel Swiss-Belhotel Singkawang,1,2g.csv,🙏🙏🙏,,Netral
251,Hotel Swiss-Belhotel Singkawang,2,2g.csv,info loker satpam,info loker satpam,Netral
252,Hotel Swiss-Belhotel Singkawang,3,2g.csv,klo kesini parking nya gmn bayar semalaman lah y,kalau sini parkir bayar semalaman,Netral
253,Hotel Swiss-Belhotel Singkawang,4,2g.csv,udah nginep di sini..pas musim liburan dulu harga kamarnya 1.5,sudah nginep sini pas musim liburan dulu harga kamar 1.5,Netral
254,Hotel Swiss-Belhotel Singkawang,5,2g.csv,🥰🥰🥰,,Netral
255,Hotel Swiss-Belhotel Singkawang,6,2g.csv,😍,,Netral
256,Hotel Swiss-Belhotel Singkawang,7,2g.csv,kak buat yg bawa motor nnti lewat mana ya?,kakak bawa motor nanti lewat mana,Netral
257,Hotel Swiss-Belhotel Singkawang,8,2g.csv,Alhamdulillah sudah pernah,alhamdulillah sudah pernah,Positif
258,Hotel Swiss-Belhotel Singkawang,9,2g.csv,berapa harganya,berapa harga,Netral
259,Hotel Swiss-Belhotel Singkawang,10,2g.csv,@KAMPAS KOPLING,kampas kopling,Netral
260,Hotel Swiss-Belhotel Singkawang,11,2g.csv,"sudah beberapa kali nginap di sini, tower 1 maupun tower 2",sudah beberapa kali nginap sini tower 1 tower 2,Positif
261,Hotel Swiss-Belhotel Singkawang,12,2g.csv,akan datang nginap..for sure..☺,akan datang nginap,Positif
262,Hotel Swiss-Belhotel Singkawang,1,2h.csv,lengkap bnget kmarnyaa,lengkap sekali kamar,Positif
263,Hotel Swiss-Belhotel Singkawang,2,2h.csv,Wah bagus ni😍,wah bagus,Positif
264,Hotel Swiss-Belhotel Singkawang,3,2h.csv,Baguuus🥰,bagus,Positif
265,Hotel Swiss-Belhotel Singkawang,4,2h.csv,Wah nggax juga mahal ya ternyata,wah tidak juga mahal,Positif
266,Hotel Swiss-Belhotel Singkawang,5,2h.csv,harga PerMlm Mbak,harga per malam,Netral
267,Hotel Swiss-Belhotel Singkawang,6,2h.csv,Sayangnya untuk sarapan kurang enak 😞,sayang sarapan kurang enak,Negatif
268,Hotel Swiss-Belhotel Singkawang,7,2h.csv,RCTI OKE 👍👍💪,rcti oke,Positif
269,Hotel Swiss-Belhotel Singkawang,8,2h.csv,"kak ini kamar tower 2, bisa akses sarapan di tower 1 sama kolam berenang ya?",kakak kamar tower 2 bisa akses sarapan tower 1 kolam berenang,Netral
